
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)"
="",="mean of earning growth of same job/time/place from y to y+1(%)",="mean of earning growth of same job/time/place from y to y+1(%)",="mean of earning growth of same job/time/place from y to y+1(%)",="mean of earning growth of same job/time/place from y to y+1(%)",="var of earning growth of same job/time/place from y to y+1(%)",="var of earning growth of same job/time/place from y to y+1(%)",="var of earning growth of same job/time/place from y to y+1(%)",="var of earning growth of same job/time/place from y to y+1(%)",="25/75 inter-quantile range of earning growth of same job/time/place from y to y+",="25/75 inter-quantile range of earning growth of same job/time/place from y to y+",="25/75 inter-quantile range of earning growth of same job/time/place from y to y+",="25/75 inter-quantile range of earning growth of same job/time/place from y to y+",="mean of real earning growth of same job/time/place from y to y+1(%) ",="mean of real earning growth of same job/time/place from y to y+1(%) ",="mean of real earning growth of same job/time/place from y to y+1(%) ",="mean of real earning growth of same job/time/place from y to y+1(%) ",="variance of real earning growth of same job/time/place from y to y+1(%) ",="variance of real earning growth of same job/time/place from y to y+1(%) ",="variance of real earning growth of same job/time/place from y to y+1(%) ",="variance of real earning growth of same job/time/place from y to y+1(%) "

="",="",="",="(0.00105)",="",="",="",="(0.00453)",="",="",="",="(0.00173)",="",="",="",="(0.00135)",="",="",="",="(0.00859)",=""

="chance of stock market up from y to y+1(%)",="",="",="0.00812***",="",="",="",="0.00602",="",="",="",="0.000968",="",="",="",="0.0201***",="",="",="",="-0.0475***",=""
="",="",="",="(0.000916)",="",="",="",="(0.00384)",="",="",="",="(0.00140)",="",="",="",="(0.00119)",="",="",="",="(0.00749)",=""

="education=2",="",="",="",="0.433",="",="",="",="-4.892",="",="",="",="-2.283*",="",="",="",="0.105",="",="",="",="-5.691"
="",="",="",="",="(0.348)",="",="",="",="(2.865)",="",="",="",="(1.033)",="",="",="",="(0.570)",="",="",="",="(6.581)"

="education=3",="",="",="",="0.423",="",="",="",="-5.877*",="",="",="",="-3.266**",="",="",="",="-0.0337",="",="",="",="-11.30"
="",="",="",="",="(0.340)",="",="",="",="(2.833)",="",="",="",="(1.015)",="",="",="",="(0.557)",="",="",="",="(6.497)"

="education=4",="",="",="",="0.578",="",="",="",="-6.292*",="",="",="",="-3.221**",="",="",="",="0.329",="",="",="",="-10.57"
="",="",="",="",="(0.344)",="",="",="",="(2.840)",="",="",="",="(1.019)",="",="",="",="(0.564)",="",="",="",="(6.521)"

="education=5",="",="",="",="0.698*",="",="",="",="-6.298*",="",="",="",="-3.898***",="",="",="",="0.822",="",="",="",="-15.98*"
="",="",="",="",="(0.337)",="",="",="",="(2.822)",="",="",="",="(1.010)",="",="",="",="(0.550)",="",="",="",="(6.473)"

="education=6",="",="",="",="0.479",="",="",="",="-6.901*",="",="",="",="-4.230***",="",="",="",="0.799",="",="",="",="-17.41**"
="",="",="",="",="(0.339)",="",="",="",="(2.829)",="",="",="",="(1.011)",="",="",="",="(0.553)",="",="",="",="(6.482)"

="education=7",="",="",="",="0.540",="",="",="",="-6.722*",="",="",="",="-4.439***",="",="",="",="0.981",="",="",="",="-20.18**"
="",="",="",="",="(0.379)",="",="",="",="(2.949)",="",="",="",="(1.028)",="",="",="",="(0.592)",="",="",="",="(6.607)"

